prompt,status,response
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,aircraft <MASKED_FLIGHT_NUM> is currently boarding.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,BOARDING,The boarding process for plane <MASKED_FLIGHT_NUM> is currently in progress.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,The flight plane <MASKED_FLIGHT_NUM> is now boarding passengers at gate boarding area.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,The gate for flight <MASKED_FLIGHT_NUM> is now open for boarding.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Unfortunately, plane <MASKED_FLIGHT_NUM> is cancelled. Please get in touch with customer service for your rebooking options."
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,BOARDING,Gate entry gate is now open for service <MASKED_FLIGHT_NUM> boarding.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is underway at the gate.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> is already on its way.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has departed and is en route.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,Everything looks great for service <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is underway at the gate.
Is the flight <MASKED_FLIGHT_NUM> on time?,ON_TIME,Everything is running according to plan. service <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,ON_TIME,"Relax, airline <MASKED_FLIGHT_NUM> is on time and set for <MASKED_FLIGHT_TIME>."
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has already taken off and is in flight.
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,DEPARTED,The flight flight <MASKED_FLIGHT_NUM> has already departed and is currently en route.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,Your flight airline <MASKED_FLIGHT_NUM> is scheduled for departure at <MASKED_FLIGHT_TIME> without any delay.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> has already taken off and is now in flight.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Apologies, but aircraft <MASKED_FLIGHT_NUM> is delayed. The updated departure time is <MASKED_FLIGHT_TIME>."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",BOARDING,Gate terminal gate is open and passengers are now boarding for plane <MASKED_FLIGHT_NUM>.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,CANCELLED,"Regrettably, airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for alternative travel arrangements."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DELAYED,We’re sorry for the delay with aircraft <MASKED_FLIGHT_NUM>. The departure is now at <MASKED_FLIGHT_TIME>.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,ON_TIME,aircraft <MASKED_FLIGHT_NUM> is on time and set to depart at <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,We’re happy to confirm airplane <MASKED_FLIGHT_NUM> is on time and departs at <MASKED_FLIGHT_TIME>.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"The flight aircraft <MASKED_FLIGHT_NUM> is on time, and departure is scheduled for <MASKED_FLIGHT_TIME>."
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> is cancelled. Please contact support for a new booking or travel information."
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,BOARDING,The boarding process for flight <MASKED_FLIGHT_NUM> is currently taking place at gate terminal entrance.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> has been cancelled. For help with rebooking, please reach out to customer service."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has departed and is now en route.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,We’re sorry to announce that flight <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer service for rebooking.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,The schedule holds steady for flight <MASKED_FLIGHT_NUM>. Departure is <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,Boarding for aircraft <MASKED_FLIGHT_NUM> is in progress at gate check-in gate.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,We are sorry to report that airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance with rebooking.
Is the flight <MASKED_FLIGHT_NUM> on time?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> will not operate. Please contact customer support for your next steps."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Due to a change in scheduling, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Contact customer support for rebooking."
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,DELAYED,"Unfortunately, jet <MASKED_FLIGHT_NUM> has been delayed. The new time of departure is <MASKED_FLIGHT_TIME>."
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DEPARTED,plane <MASKED_FLIGHT_NUM> has already left for its journey.
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,DELAYED,We regret to inform you of a delay. carrier <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DEPARTED,flight <MASKED_FLIGHT_NUM> is now in the air.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DELAYED,flight <MASKED_FLIGHT_NUM> is facing a delay. Expect it to leave at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has already left the airport and is now airborne.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,The boarding process for aircraft <MASKED_FLIGHT_NUM> is now underway.
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but airplane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team for rebooking assistance."
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,airplane <MASKED_FLIGHT_NUM> is experiencing a delay. Adjusted time: <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,airplane <MASKED_FLIGHT_NUM> is currently in flight.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,flight <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME> due to a delay.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DEPARTED,The flight plane <MASKED_FLIGHT_NUM> is no longer at the airport and is on its way.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding for service <MASKED_FLIGHT_NUM> has started at gate check-in gate.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,DELAYED,We’re sorry to inform you that airline <MASKED_FLIGHT_NUM> is delayed. The updated schedule is <MASKED_FLIGHT_TIME>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Due to unexpected reasons, service <MASKED_FLIGHT_NUM> is delayed. Please expect it at <MASKED_FLIGHT_TIME>."
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is now en route to the destination.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,The departure for carrier <MASKED_FLIGHT_NUM> has been delayed. Updated time is <MASKED_FLIGHT_TIME>.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,ON_TIME,Everything’s looking good for carrier <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DELAYED,There’s a delay for plane <MASKED_FLIGHT_NUM>. Updated departure time: <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,We're sorry to inform you that carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact us to explore other travel options.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DELAYED,There is a delay affecting carrier <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,ON_TIME,"The status of jet <MASKED_FLIGHT_NUM> is on time, departing as planned at <MASKED_FLIGHT_TIME>."
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",ON_TIME,We’re happy to let you know that airline <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,BOARDING,airplane <MASKED_FLIGHT_NUM> is now actively boarding passengers.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> has already departed and is now in the air.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,DELAYED,We apologize for the delay of jet <MASKED_FLIGHT_NUM>. The new expected time is <MASKED_FLIGHT_TIME>.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> is no longer at the gate.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has already taken off from the gate and is en route.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,CANCELLED,"Apologies, but jet <MASKED_FLIGHT_NUM> is no longer available. Please reach out to customer service for further assistance."
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,CANCELLED,"Due to unforeseen circumstances, service <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for rebooking."
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DELAYED,We regret that airplane <MASKED_FLIGHT_NUM> is delayed. The updated departure time is <MASKED_FLIGHT_TIME>.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> has been cancelled. For help with rebooking, please reach out to customer support."
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,ON_TIME,Your flight service <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as scheduled.
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already airborne and heading to the destination.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, service <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for alternative travel arrangements."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer support for your next steps."
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"We apologize, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for your next steps."
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,BOARDING,Flight airline <MASKED_FLIGHT_NUM> is now boarding at gate passenger gate.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",BOARDING,Flight service <MASKED_FLIGHT_NUM> is actively boarding at gate entryway.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Sadly, jet <MASKED_FLIGHT_NUM> will not be departing. Please reach out to customer service for help with rebooking.We're sorry, but jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for rebooking options."
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,We’re happy to report that aircraft <MASKED_FLIGHT_NUM> is departing on time at <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,BOARDING,Flight service <MASKED_FLIGHT_NUM> is actively boarding at gate flight access point.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,DELAYED,We regret the delay for airline <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is already in flight and on its way.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,"Gate flight access point is open, and passengers are now boarding for aircraft <MASKED_FLIGHT_NUM>."
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,BOARDING,The boarding gate for carrier <MASKED_FLIGHT_NUM> has opened.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DELAYED,service <MASKED_FLIGHT_NUM> is running late. New expected departure time: <MASKED_FLIGHT_TIME>.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DELAYED,service <MASKED_FLIGHT_NUM> is experiencing a delay. New departure time: <MASKED_FLIGHT_TIME>.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,ON_TIME,"Relax, airline <MASKED_FLIGHT_NUM> is on time and set for <MASKED_FLIGHT_TIME>."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service for rebooking options.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,ON_TIME,aircraft <MASKED_FLIGHT_NUM> stays on schedule for <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DELAYED,"Due to operational reasons, service <MASKED_FLIGHT_NUM> is delayed. New departure is scheduled for <MASKED_FLIGHT_TIME>."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DELAYED,The flight carrier <MASKED_FLIGHT_NUM> is now delayed. Updated schedule: <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,CANCELLED,We regret that flight <MASKED_FLIGHT_NUM> has been cancelled. Contact our customer service team for information on rebooking.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,"Regrettably, airline <MASKED_FLIGHT_NUM> is delayed. It will leave at <MASKED_FLIGHT_TIME>."
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,DELAYED,We’re sorry for the delay with flight <MASKED_FLIGHT_NUM>. The departure is now at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service to explore new travel arrangements."
Is airplane <MASKED_FLIGHT_NUM> still on time?,CANCELLED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> has been cancelled. Our support team is available to help you rebook.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,jet <MASKED_FLIGHT_NUM> is in the middle of the boarding process.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,ON_TIME,Smooth travel plans for carrier <MASKED_FLIGHT_NUM>. It’s on time for <MASKED_FLIGHT_TIME>.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> is on its way and has already left.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Regrettably, carrier <MASKED_FLIGHT_NUM> will not depart as scheduled. Please contact support for further assistance."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,ON_TIME,No delays for service <MASKED_FLIGHT_NUM>. The flight is on time and leaving at <MASKED_FLIGHT_TIME>.
